Index,Location,Map_link,Image2,Place,Image1,Latitude,Longitude
1,Valkiria Hub Space: Coworking Space,"https://www.google.com/maps/place/Valkiria+Hub+Space/@41.4020517,2.1948465,19z/data=!4m11!1m3!11m2!2sBBqUhq-jTjatJLi8DfQ_9A!3e3!3m6!1s0x12a4a317ad56bf65:0x60e0b5fdcde837a4!8m2!3d41.3984358!4d2.1966413!15sCgEqWgMiASqSAQ9jb3dvcmtpbmdfc3BhY2XgAQA!16s%2Fg%2F1pp2xb9tn?entry=ttu",https://lh3.googleusercontent.com/pw/ABLVV86CxPUX5jIz4Yij83W3zhgvM_Ls-P0eYHnAngvatOAV9Sxqe8pmLZYQBnXI528qfn6p92iyjJCNnyV-TxzsPdl0rz4AipwCki7otFvrx1J7eNqN6ho7l1c1btM6eZ7Dop-b3lhDwjHqSod7BA_FUoqy=w1880-h1410-s-no-gm?authuser=0,Valkiria Hub Space,https://lh5.googleusercontent.com/p/AF1QipMpTwW2kQ4KaD8VgPTLXG1Xxx_J3zzA71C3JQfK=w408-h544-k-no,41.3984358,2.1966413
2,The High Classa Weed Club,"https://www.google.com/maps/place/The+High+Class+Weed+Club/@41.3964526,2.1930222,15z/data=!4m11!1m3!11m2!2sBBqUhq-jTjatJLi8DfQ_9A!3e3!3m6!1s0x12a4a3c76a1da56d:0x4c450c8a65486b33!8m2!3d41.4004298!4d2.1987498!15sCgEqkgENY2FubmFiaXNfY2x1YuABAA!16s%2Fg%2F11stszx_zm?entry=ttu",https://lh3.googleusercontent.com/pw/ABLVV85Xl8jbmfSGaHfZWgMYwcQrqwiiCm2RmUYcopvwzDGj1B-VFC0CLaCyzGzm5vbhhl8IbWJQ56kOSHQfDMLMWZYyUIxyXYtBEkZy1jZmT5dwNJk-mtiscgmYcWmotVSte58LOb-AqmxDA9jeTOBb9lvQ=w1880-h1410-s-no-gm?authuser=0,The High Class Weed Club,https://lh5.googleusercontent.com/p/AF1QipND_PVMhFsBQO_hvK122pY_9RnauQdABBiDqggS=w408-h611-k-no,41.4004298,2.1987498
3,Museu Can Framis,"https://www.google.com/maps/place/Museu+Can+Framis/@41.3964517,2.1929792,15z/data=!4m11!1m3!11m2!2sBBqUhq-jTjatJLi8DfQ_9A!3e3!3m6!1s0x12ba54637b105e0f:0xdff4d9dfe310fbeb!8m2!3d41.4028922!4d2.1949848!15sCgEqWgMiASqSARFtb2Rlcm5fYXJ0X211c2V1beABAA!16s%2Fm%2F0_82y64?entry=ttu",https://lh3.googleusercontent.com/pw/ABLVV84UMuDOMWH1GLbBEUPT396gk52U_rqsR7ppV_jA9H16KPcQIlju5sMxC4EFeMX2gSzScIxUKu__XNZIfkyHSmHm_FLUl_RLC2FMUFVV9BYG7o6ZoGKvNWG6EKSgMsRLc0dxE2jz2L5TsDe_YDdENane=w1880-h1410-s-no-gm?authuser=0,Can Framis Museum,https://lh5.googleusercontent.com/p/AF1QipOmaalO4IXe8OHWF_sDiwQ-3xAf3FTrbH4nAdQm=w426-h240-k-no,41.4028922,2.1949848
4,Padel 7Glories,"https://www.google.com/maps/place/Padel+7+Glories/@41.3964507,2.1929363,15z/data=!4m11!1m3!11m2!2sBBqUhq-jTjatJLi8DfQ_9A!3e3!3m6!1s0x12a4a3878c9125c9:0x2b28bbfd1aa1e4e8!8m2!3d41.3997581!4d2.1934906!15sCgEqkgELc3BvcnRzX2NsdWLgAQA!16s%2Fg%2F11rhqmpgxg?entry=ttu",https://lh3.googleusercontent.com/pw/ABLVV87aIqPMVPs563CihRzsTyzlhWaYW8kOZmDYyrzkBfxamNN-_Ll3kHeMZgQNnlgJKTuc-XxL5nOaPephPRi_zXRM1nnOjOSqvgKKB_86vh65xAmsoKswgvXwc0eNNozWK5qseC7WGpDVKSTa_9CgXKO1=w1880-h1410-s-no-gm?authuser=0,Padel 7 Glòries,https://lh5.googleusercontent.com/p/AF1QipMvw7ryz0o3EdlMfM5V8CZfMrdEaWzyDNvjcj7p=w408-h306-k-no,41.3997581,2.1934906
5,Razzmatazz,"https://www.google.com/maps/place/Sala+Razzmatazz/@41.3964507,2.1929363,15z/data=!3m1!5s0x12a4a319059f6311:0x5b2405114fe539dc!4m11!1m3!11m2!2sBBqUhq-jTjatJLi8DfQ_9A!3e3!3m6!1s0x12a4a3190e0640b5:0x40f9d8fe93a98ca!8m2!3d41.3977323!4d2.1911108!15sCgEqWgMiASqSAQVkaXNjb-ABAA!16s%2Fg%2F1211jj9f?entry=ttu",https://lh3.googleusercontent.com/pw/ABLVV854kDo4qqgcTFGCYTkc9-clIP1mWklzpncQ348yZoD6_QAVefFbrZz_G8b0jE8F7RGuA1juJLGtg5hZvRNsH3k-52XHfghhC2sQVbtgcmVhz008WN5TYRtos62m-lv1QjQ7RsP4xw0igG5P89JBimTA=w1880-h1410-s-no-gm?authuser=0,Razzmatazz,https://lh5.googleusercontent.com/p/AF1QipNL0PH2NXDlGZr92XzGgSSCXuzZCD-r01doPkSt=w408-h544-k-no,41.3977323,2.1911108
6,CrossFit,"https://www.google.com/maps/place/CrossFit/@41.3964507,2.1929363,15z/data=!4m11!1m3!11m2!2sBBqUhq-jTjatJLi8DfQ_9A!3e3!3m6!1s0x12a4a31c1c8c5d69:0x6a02904adaa40213!8m2!3d41.3951733!4d2.1885328!15sCgEqkgEOZml0bmVzc19jZW50ZXLgAQA!16s%2Fg%2F11b7gdl31_?entry=ttu",https://lh3.googleusercontent.com/pw/ABLVV86yJel7V5Rjuv5y9gClfskAmNCRo-0KaAljU8n5vS3EzohcOVKM71J20I4xbKjJRkMVTdcBEC0VtQCNtD8LKFRVyaaaOylnvHUKJcr72RFjEC6AtMOegyDvtx7_WeaPbMFpahbFAJQMM9I_pjuHuXUJ=w1880-h1410-s-no-gm?authuser=0,CrossFit PobleNou,https://lh5.googleusercontent.com/p/AF1QipMKfQUeuhJNIe5eVIyRARGnVu-Sv6cGm1JeBPnO=w416-h240-k-no,41.3951733,2.1885328
7,Jardins Creu Casas,"https://www.google.com/maps/place/Jardines+de+Creu+Casas/@41.3964507,2.1929363,15z/data=!4m11!1m3!11m2!2sBBqUhq-jTjatJLi8DfQ_9A!3e3!3m6!1s0x12a4a3088a35b065:0xc997c40479c5856a!8m2!3d41.3938117!4d2.1940245!15sCgEqkgEGZ2FyZGVu4AEA!16s%2Fg%2F11hw8n3425?entry=ttu",https://lh3.googleusercontent.com/pw/ABLVV87-uSUYcr34VoVEMAYj8eQfuu9MLoO1tBI4LFmyEKHm5J0orrfFalEg8Bt0eKmX6nt2wlnS2aQybC9k5lvxuijBOwSNFDKQfUjDi1wvLfSOSMdXy7FpXZ0XEc0E2gQKU30PRu6z5OfYLVhmYjarwgr0=w1419-h798-s-no-gm?authuser=0,Jardins de Creu Casas,https://lh5.googleusercontent.com/p/AF1QipPrkOyEzhDm2BbQsIdJV0mVNSwf8cwCE_IWIiKJ=w408-h285-k-no,41.3938117,2.1940245
8,Gabby's Brunch,"https://www.google.com/maps/place/Gabby's+Brunch/@41.3964507,2.1929363,15z/data=!4m11!1m3!11m2!2sBBqUhq-jTjatJLi8DfQ_9A!3e3!3m6!1s0x12a4a3ab39a36091:0x7ae4a7c6c2076807!8m2!3d41.39517!4d2.196452!15sCgEqWgMiA",https://lh3.googleusercontent.com/pw/ABLVV87dxfQUyduLxG6nbi5f23HFVND2ZoHIftYgzoW0wdXbdaX2z4jZen-1JGSpUcd2xAYXP0LODv5gPzXPKMgDZcb2Cehb_YCHQGc-73cTbXLVYc5Ev6nmlzDxBF1Rop_WudNnJo8ModR5YbCqEyeT7-0X=w1279-h959-s-no-gm?authuser=0,Gabby's Brunch,https://lh5.googleusercontent.com/p/AF1QipMOQEX6WnJXBaALqZyXiNo7aZomKJXzqMw_MREP=w408-h544-k-no,41.39517,2.196452
9,Casal Barri Vila Olimpica,"https://www.google.com/maps/place/CASAL+DE+BARRIO+DE+LA+VILLA+OL%C3%8DMPICA/@41.3964507,2.1929363,15z/data=!4m11!1m3!11m2!2sBBqUhq-jTjatJLi8DfQ_9A!3e3!3m6!1s0x12a4a313891644db:0x7e712a72a83f7f9!8m2!3d41.3952484!4d2.2007677!15sCgEqkgEPY3VsdHVyYWxfY2VudGVy4AEA!16s%2Fg%2F11c5rpxcrn?entry=ttu",https://lh3.googleusercontent.com/pw/ABLVV84M663h2Wkz0SAEArLnz2_ZslkoJVd3_C23wRo_iH5NISPmnjUxF06PkGn_Cxm9L8zAJF6ZSEE8jAlzwV48tlGWfozuC9pgwUUMX5YMqcG4hDslBkarphYrVxzM9Gbg1MfT9_yqq_kn4ujk0lH3894x=w1279-h959-s-no-gm?authuser=0,CASAL DE BARRI DE LA VILA OLÍMPICA - CAN GILI NOU,https://lh5.googleusercontent.com/p/AF1QipOOQYcK2L7Bq4h59BmUKNH2bNO45mCo1ycBT17L=w408-h332-k-no,41.3952484,2.2007677
10,Iaac,"https://www.google.com/maps/place/Instituto+de+Arquitectura+Avanzada+de+Catalu%C3%B1a/@41.3995993,2.188879,15.25z/data=!4m11!1m3!11m2!2sBBqUhq-jTjatJLi8DfQ_9A!3e3!3m6!1s0x12a4a3176486d56b:0x43da322368b6ed68!8m2!3d41.3966908!4d2.1943796!15sCgEqkgETYXJjaGl0ZWN0dXJlX3NjaG9vbOABAA!16s%2Fm%2F02q7y2c?entry=ttu",https://lh3.googleusercontent.com/pw/ABLVV87t_kCwzGkDlgHZKaiQHFtLM2oyKr5NcrFxDNuvHjO1CgtOMCgLxpJgMKoFycJnL8TxjFfT8y0d8-JTleVVEuG_W6Ic-QufZBTroMedib03xftLJ_c8kqKzOYEHO4vmYpqsFWrcfTE2fV5PJZCr6fxx=w1279-h959-s-no-gm?authuser=0,Institute for Advanced Architecture of Catalonia,https://lh5.googleusercontent.com/p/AF1QipPf7CFXKuglUaXevq_tTqmmJEf6e74H0PvH7YM1=w408-h404-k-no,41.39669079999999,2.1943796
